Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
2220000,0.4143063,0.507229,0.069015674,0.01253746,0.06820982,0.00023387105,0.17795701,0.007797905,0.038548954,0.03792251,380.1518987341772,1.5691949140421952,1.5691949140421952,0.30157796417280464,1.0
2250000,0.43924525,0.5164521,0.08898486,0.0134382015,0.0692152,0.00023295224,0.17765075,0.007767309,0.038691208,0.04074627,384.962962962963,1.5409555396548025,1.5409555396548025,0.3073344113604154,1.0
2280000,0.41520843,0.54462606,0.09277752,0.010996352,0.07092662,0.00023203515,0.17734502,0.0077367686,0.036095265,0.029150484,349.0128205128205,1.5483871630560129,1.5483871630560129,0.26986267955866283,1.0
2310000,0.38886517,0.5089151,0.094600216,0.011559872,0.07036137,0.000231148,0.17704931,0.0077072275,0.036094345,0.025454542,384.91764705882355,1.4503317499861998,1.4503317499861998,0.28995401385404607,1.0
2340000,0.3964686,0.50446814,0.081060596,0.011513449,0.067167416,0.00023026977,0.17675658,0.007677982,0.034728907,0.022531118,383.1506849315069,1.4816405164027535,1.4816405164027535,0.27923906897194684,1.0
2370000,0.40880933,0.55199456,0.078093775,0.012535258,0.072831236,0.00022935125,0.17645042,0.007647395,0.033512186,0.028312864,363.3809523809524,1.5174915463809509,1.5174915463809509,0.2587192104540272,1.0
2400000,0.39991412,0.5394033,0.08373576,0.012921944,0.07253902,0.00022842479,0.17614159,0.0076165446,0.033558417,0.025991635,358.92045454545456,1.5497887480292427,1.5497887480292427,0.24952618859896666,1.0
2430000,0.34473264,0.62816924,0.082439795,0.009170081,0.066901796,0.00022753754,0.17584585,0.0075869993,0.02937864,0.016524605,330.75,1.6216190288819017,1.6216190288819017,0.20587843859158012,1.0
2460000,0.3289921,0.6292622,0.07040525,0.013272256,0.068557754,0.00022664826,0.1755494,0.0075573856,0.030063981,0.02135305,328.4130434782609,1.6280999794278457,1.6280999794278457,0.2060584547327143,1.0
2490000,0.327462,0.5546128,0.07030671,0.011353928,0.0714096,0.00022575338,0.17525111,0.0075275856,0.030367006,0.01994579,374.15384615384613,1.5489025429273262,1.5489025429273262,0.22656648313531128,1.0
2520000,0.36686355,0.5624927,0.07638404,0.011952578,0.067134,0.0002248602,0.17495339,0.0074978434,0.031938594,0.024281437,367.2738095238095,1.5136523633485748,1.5136523633485748,0.2538729248723636,1.0
